text,binary,multiclass,id
"#USER# #USER# I'm really liking this project, let's work together. Your company trusted believe me. And Congratulations on the launch..best wishes for future projects
@AhmedSh27723386 
@KdMokabbir 
@ShakilK70421550",Hope,Realistic Hope,5820
I wish my bf were less attractive to me like how am I supposed to stay mad,Hope,Unrealistic Hope,2102
#USER# Oh shit really? I would hope they'd shed some more light on what happened to him in the future,Hope,Generalized Hope,4061
"$SPY $SPX update:
Looking excellent. Pretty neutral day with a push up to $392.94 as a high before settling a tad lower into close. the micro relevant .786 ($382.43) is seen as support here if downside were to occur, but I do anticipate a continuation of this upward trend. #KÏ†F #URL# #URL#",Hope,Generalized Hope,1780
"#USER# #USER# He can pray all he wants, just not at school, not hard to understand",Hope,Realistic Hope,2599
"#USER# The course I wish more people created. 1. Lots of Low poly Animations, great for beginners 2. Characters designing and sculpting 3. Modelling everyday objects including cars 4. Architecture designing in blender. Infographics animationâ€™s in blender, similar to after effects",Hope,Unrealistic Hope,7739
"Wallahi  Indian Muslims are the bravest Muslims in the whole world whether they are Kashmiri or from any state. Wallahi my Heart bursts when i  see the pain of my peopleğŸ’”. 
Im ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­
We will Rise  Again inshallah
(Yeh Chaman phir Mamoor hoga Ayega wo Daur)
#Muslims",Hope,Unrealistic Hope,3078
#USER# #USER# hope you guys got d msg from d youth. Pls &amp; pls conduct free and fair elections to avoid wahala for Nigeria ğŸ‡³ğŸ‡¬ respect d youths choice,Hope,Realistic Hope,6513
Really wish they ainâ€™t have to cut some of the horror elements to keep it PG13 #URL#,Hope,Unrealistic Hope,6744
"#USER# Good morning, Bud! ğŸ¥° Another good decision from SCOTUS this morning. The light is still bright and things are hopeful. Have a wonderful day, boo ğŸ˜˜",Hope,Generalized Hope,1621
"#USER# Schools are forbidden from initiating or sponsoring religious activities, including prayer, but religious groups are permitted to meet on school grounds after school, and students can pray to whatever or whomever they want at any time of day, as long as they do it privately. FYI",Not Hope,Not Hope,1624
"#USER# #USER# #USER# Problem is Gav, 'normal people' are not the brightest.  They will only accept the apocalypse when it sweeps them away......",Not Hope,Not Hope,1131
#USER# 49ers in the NFL are a private company. They make the rules just like a dress code. He kneeled in public school setting that's why he had to take it to court. I wish you well my friend and peace. Stay safe.,Hope,Generalized Hope,3994
"#USER# #USER# Projects are continuously attacked by hackers That is the nightmare of many projects. So what is your strategy to anticipate hacking possibilities on your platform? #USER# What plan do you have in order not to let project  get hacked and cost investors?
@elradave 
@sis 
@femi",Not Hope,Not Hope,401
#USER# They're doing it now hoping everyone will forget and be less angry in November,Hope,Realistic Hope,58
i aspire to have the level of delusion to believe those thing 1 and thing 2 halloween costumes look better than the new version u cannot be seriousğŸ’€ #URL#,Hope,Unrealistic Hope,1754
"#USER# So how many elections has it been now that ""everything is on the line""?

I've lost count",Not Hope,Not Hope,11
"Inshallah if I do become a doc and if I leave this country ...I will come back to serve my motherland which made me a doctor  by the free education given from grade 1 to uni, the amazing teaching in the university and a valuable degree which I can proudly hold on to Inshallah ğŸ’•",Hope,Realistic Hope,4720
I was in FCA in high-school and was heavily involved in church and with people I played sports with. We prayed on the field before and/or after games. We never had a coach lead prayer and we never outed anybody who didn't want to pray with us. Coaches shouldn't lead team prayer #URL#,Not Hope,Not Hope,1157
"I got baloonsğŸ˜ŒğŸŒš

A whole year has passed and it's been 365 days of hurdles and massive successes which Iâ€™m always grateful to God for and I pray he continues to grantğŸ˜ŒğŸ’¯ğŸ™.

Iâ€™m walking into abundance and increase in all spheres of my lifeğŸ˜ŒğŸ¥‚

Happy Birthday to MeğŸ¾ğŸ‚â¤ï¸ #URL#",Hope,Generalized Hope,6167
